user_pseudo_id,session_num,pv_num,purchase_num
6283830.7324898117,12,155,0
7385163302.4274482131,12,92,1
9175563.4519041873,12,80,0
77419838.9395198381,12,45,0
29392387.1914586824,12,39,0
89850393.5112578714,12,38,0
99377521.1544799124,12,28,0
1819801.1582224257,12,26,0
84877968.2409032603,12,21,0
54305950.4253863829,12,19,0
27488559.4267170544,11,313,2
1612807.0379836428,11,147,0
1641119.5758861487,11,98,1
14172831.0302334007,11,95,0
8079006.6650182195,11,92,1
61923980.5293029207,11,85,0
60142796.3936476784,11,76,0
6653444.2272771449,11,67,1
1924595.6444212574,11,64,0
2189856.1203101574,11,60,0
70303843.8804739971,11,54,0
40044588.9243577211,11,49,0
2404616.5521353447,11,48,0
89880301.7653758376,11,47,0
1778222.3456149053,11,45,0
3230394.3873550395,11,43,0
79823251.2774099151,11,41,0
1484257.8052292428,11,39,0
61896924.0350786444,11,37,0
31018091.1787224840,11,33,0
19154862.2796028364,11,32,0
3533420963.4647145098,11,29,0
75805641.2608938202,11,27,0
76075694.7803689528,11,26,0
27793231.8284255087,11,25,0
4954053.3533146939,11,24,0
81781289.9671641918,11,24,0
2095299.8404862362,10,237,10
12291833.4027102912,10,182,0
32537323.1786293821,10,154,1
7687394.8608023492,10,117,2
26287847.5871452449,10,102,0
5767763.7293485976,10,95,0
8846133.3726396176,10,85,1
2804211.4227801025,10,82,0
4164125.0295010106,10,82,1
1367427.8021574339,10,73,0
3039145.4910050616,10,72,0
82514020.7875921977,10,65,0
51381575.3677413759,10,63,0
7678145.6418665978,10,60,1
74186606.6338282091,10,60,0
80479172.7618030805,10,55,0
7969258.0074547870,10,50,0
8026395.1865002498,10,49,0
53733551.4684608407,10,49,0
2703579430.3641911602,10,45,0
57636608.3541589386,10,42,0
50400500.4232950772,10,42,0
37345016.4894873094,10,40,0
7101841.8884258216,10,39,0
54542747.1571989094,10,35,0
2955501852.7088908677,10,30,0
45697978.1523600817,10,29,0
9003453375.8121226436,10,29,0
76308847.7057718374,10,27,0
6708227.5356092221,10,25,0
1509167.8454878013,10,23,0
91865941.2605798453,10,23,0
60838050.2619802274,10,22,0
5882227.9123999797,10,22,0
6720426.7293910719,10,20,0
4992999.1096131806,10,19,0
76954370.4331918916,10,15,0
2522139.8383510968,9,332,1
62995875.7609912157,9,194,0
17092913.6445812691,9,143,2
8771490.8337193983,9,108,1
28683334.6180641211,9,82,1
8905528.1510934754,9,79,1
77478045.0093355364,9,74,0
62799161.2323099868,9,72,0
65049084.1356076548,9,69,0
5572774684.5698209837,9,67,0
9496678.6298237945,9,64,1
10413280.5044353593,9,64,0
5688415.0405647896,9,62,0
39652472.1809478185,9,61,1
8233454.3379625056,9,56,0
66021745.1784185552,9,53,1
6015650.4012123643,9,52,0
5751294.2360818419,9,48,0
67866911.1234232513,9,47,0
6236628.2706569123,9,45,0
72045112.4341888544,9,44,0
39049984.4198737878,9,43,1
33980109.7547737400,9,43,0
72354326.0669109664,9,41,0
1324723.7882312578,9,40,0
1220886.0250243467,9,39,0
24662006.0489830907,9,38,0
7302535.7789729457,9,36,0
8312187.5297394857,9,36,0
72495720.4823680665,9,35,0
42698890.6982115197,9,34,0
35640792.6079197834,9,33,0
5971765.6342438662,9,32,0
7503398.7411161766,9,32,0
3617931.4163970841,9,31,0
43372277.9013750275,9,29,0
65828817.1689208573,9,29,0
77148955.9507810686,9,29,0
58975749.9834489761,9,27,0
66036814.7798096053,9,27,0
73612277.4122306370,9,25,0
81696079.3535920388,9,23,0
2914301.0348640426,9,22,0
8338601.6590807440,9,21,0
1709385.9828496043,9,21,0
79526413.2534388634,9,21,0
2442886.1928863386,9,21,0
24652691.4955716686,9,20,0
6508378.3076839473,9,20,0
68537520.0010416270,9,19,0
84022682.5630175943,9,18,0
46953367.9006394354,9,18,0
84318711.7065714073,9,17,0
39115431.3064877849,9,17,0
61478345.4870389311,9,16,0
80911937.3527657222,9,15,0
22359493.8173138206,9,10,0
1421856.0079266060,8,189,1
12545442.9053678590,8,173,11
6149654.3757607604,8,136,3
9162393.3139216792,8,119,1
5385428.4416255705,8,113,0
5237743.2231683146,8,112,0
5613969.9742050087,8,109,0
75571709.1157982540,8,105,1
3759465.8622559344,8,102,1
64678619.2568857138,8,97,0
8373770.3836562463,8,96,0
85925370.4835043900,8,95,1
1686057483.6129377345,8,80,0
7660752.2239167901,8,72,0
67595424.7067864304,8,71,0
4582702.4425204602,8,64,0
2982105.8882328192,8,63,0
7228563.7799869763,8,62,2
6300831.9870547117,8,60,1
6939209.0233360986,8,59,0
6685051.1345603732,8,58,1
8808706.6279424881,8,57,1
19793521.4192152103,8,56,0
13242284.3555864900,8,54,0
88907950.7986786342,8,53,0
74533260.4369136488,8,52,0
6257810.1983753715,8,52,1
3165229576.8439584745,8,50,0
86879682.9826661874,8,50,0
71254727.1720137798,8,50,0
2662377.0709864017,8,49,0
63060678.6269508391,8,49,1
5333419.4437827141,8,48,0
14867108.1975514115,8,47,0
33968530.6260635955,8,46,0
54096607.6146541068,8,46,0
5415685.8101332334,8,45,0
4085775.9234704023,8,44,0
2046171.3419188783,8,43,0
5190386618.2976718873,8,43,0
70285128.0156104398,8,41,1
4112613.8739676810,8,41,0
82582387.3980280797,8,40,0
